Source,Target,From,To,Catagory
58,60,Thomas Becket,Master Lombard,c
61,58,Bishop Arnulf of Lisieux,Thomas Becket,d
62,63,Gilbert Foliot,"Nigel, Bishop of Ely",d
62,64,Gilbert Foliot,"Roger, Bishop of Worcester",d
62,5,Gilbert Foliot,Henry II of England,f
51,65,Bernard of Clairvaux,Melisende of Jerusalem,d
51,65,Bernard of Clairvaux,Melisende of Jerusalem,b
51,66,Bernard of Clairvaux,Eleanor of Aquitaine,d
51,67,Bernard of Clairvaux,Hugh Farsit,c
51,68,Bernard of Clairvaux,"Theobald, Count of Champagne",d
51,68,Bernard of Clairvaux,"Theobald, Count of Champagne",d
51,69,Bernard of Clairvaux,Pope Innocent II,d
51,69,Bernard of Clairvaux,Pope Innocent II,d
51,70,Bernard of Clairvaux,Pope Eugenius III,d
51,71,Bernard of Clairvaux,"Theobald, Archbishop of Canterbury",a
51,69,Bernard of Clairvaux,Pope Innocent II,f
51,69,Bernard of Clairvaux,Pope Innocent II,f
51,69,Bernard of Clairvaux,Pope Innocent II,d
51,70,Bernard of Clairvaux,Pope Eugenius III,d
51,70,Bernard of Clairvaux,Pope Eugenius III,d
51,72,Bernard of Clairvaux,Legates of the Apostolic See,f
51,73,Bernard of Clairvaux,Pope Honorius,d
51,74,Bernard of Clairvaux,Cardinal Heimeric,d
51,75,Bernard of Clairvaux,"Henry, Bishop of Verdun",d
51,76,Bernard of Clairvaux,"Henry de Blois, Bishop of Winchester",d
51,77,Bernard of Clairvaux,Adelaide of Maurienne,d
78,51,"Hildebert, Archbishop of Tours",Bernard of Clairvaux,d
51,79,Bernard of Clairvaux,The People of Pisa,d
51,80,Bernard of Clairvaux,Guy of Castello,b
51,81,Bernard of Clairvaux,Cardinal Alberic,d
51,69,Bernard of Clairvaux,Pope Innocent II,d
51,69,Bernard of Clairvaux,Pope Innocent II,c
51,69,Bernard of Clairvaux,Pope Innocent II,d
51,69,Bernard of Clairvaux,Pope Innocent II,f
51,69,Bernard of Clairvaux,Pope Innocent II,b
51,70,Bernard of Clairvaux,Pope Eugenius III,c
51,70,Bernard of Clairvaux,Pope Eugenius III,b
51,82,Bernard of Clairvaux,"Hugh, Bishop of Ostia",f
84,83,A Provisor,Hildegard of Bingen,a
85,83,A Certain Provost,Hildegard of Bingen,a
86,83,The Monk Guibert,Hildegard of Bingen,a
87,58,Bishop John of Poitiers,Thomas Becket,d
88,89,John of Salisbury,Nicholas de Sigillo,d
88,90,John of Salisbury,Master Nicholas,c
88,91,John of Salisbury,William de Turba,c
88,87,John of Salisbury,Bishop John of Poitiers,c
88,92,John of Salisbury,"Gratian, papal notary",d
